message,class
เอ้ย ๆๆ ใช่ มั้ย ไป นั่ง จด จัด ๆ จริงๆ CL แบบ ออกแบบ อน เตอร์เ face ให้ มัน ลิงก์ กัน ทุก อย่าง ได้ คุณ คิด อ่ะ เอา ใหม่ นึก นึก สภาพ,9arm
อย่า งี้ อุปกรณ์ แต่ละ ตัว ใช้ ซอ ฟซอแวร์ ไม่,9arm
เหมือนกัน ถูก ป่ะ ยี่ห้อ นั้น ใช้ อย่าง งั้น ยี่ห้อ นี้ ใช้ อย่า งี้ ตอนนี้ คุณ สามารถ สั่ง CL ได้ ว่า CR ช่วย เขียน โปรแกรมควบคุม บังคับ ไอ้ ตัว นี้ หน่อย รุ่น นี้ แล้วก็ อีก อัน,9arm
นึง ก็ คือ ยี่ห้อ นู้น รุ่น นู้น แต่ ต้องการ อนอร์เ face อัน เดียวกัน เป็น โปรแกรม เดียว กัน,9arm
ไม่ เข้าใจ ฟิ เวลา สั่ง ผ่าน เสียง แบบ Real Ste นะ หือ PCB Designer ยัง รอด เหรอ โอ้ I don t think so man I don t think so,9arm
ดังนั้น ทุกคน ผม เอา ให้ ดู คือ จริงๆ มัน มี อีก,9arm
เยอะ เลย ไอ้ ระบบ notification ที่ คุณ เห็น,9arm
ทั้งหมด เนี่ย ไม่ ว่า จะ เป็นอัน เนี้ย ใช่ มั้,9arm
ระบบ เนี้ย คอร์ส คอร์ส เขียน คือ ผม ทำ ไลฟ์ สม นะ แล้ว แบบ ว่า รู้สึก ว่า แบบ ระบบ notification ที่ ste laab,9arm
มัน ทำ มา ให้ อ่ะ มัน แบบ มัน ยัง ไป ไม่ สุด อ่ะ พี่ ว่า อาชีพ ไหนจะ รอด มั้ง ครับ เมื่อวาน ผม นั่ง คุย กับ ที่ บ้าน เรื่อง อาชีพ ที่จะ รอด ใน ยุค AI เนี่ย เห็น ป่ะ ทั้งหมด เคือ คอร์ส อ่ะ แล้ว คือ ผม ไม่ จำเป็นต้อง มา รู้จัก Java Script อะไร อย่าง เงี้ย ผม แค่ บอ กว่า เฮ้ย ต้องการ อะไร ประมาณ เนี้ย แล้ว เรา ต้องการ ที่จะ ให้,9arm
มัน เข้าไป ฝัง อยู่ ใน Steam Laab ไว้ เขียน เป็น ปล อิน ขึ้น มา ดิ ว่า เรา อยาก จะ เปิด เสียง,9arm
ปิด เสียง เรา อยาก จะ พอ คน ได้ นะ แล้ว เรา อยาก ได้ เอฟ เฟค ประมาณ นี้ นะ สมมุติ เนี่ย สมมุติ Let s go play ไฟ play ไฟ br you first and I promise I would big when you here it is keep pushing to 20 k next we are behind you,9arm
อันนี้ อันนี้ อันนี้ อันนี้ ปลอม อันนี้ ปลอม แต่ แต่ เรา สามารถ กด ขึ้น มา เท ส ได้ นึกออก ป่ะ,9arm
อันนี้ หมด เท่าไหร่ เหรอ ผม คิด ว่า ไม่ ไม่ น่า จะ ถึง 50 ดอลลาร์ นะ ไม่ น่าจะ ถึง 50 ดอลลาร์ เออ แต่ แก้ เยอะ แก้ เยอะ อาจจะ แพง อ่ะ,9arm
อาจจะ 100 200 แต่ว่า แพ็ค ทั้งหมด จ่าย,9arm
จ่าย รวม เหมา ๆ 200 ดอลลาร์ อยู่แล้ว ถูก มั้ย แล้ว อย่าง เงี้ย คือ อยากได้ อะไร ทุกอย่าง ที่ ได้ หมด เลย คือ อย่าง แชท ถ้า เกิด ว่า แชท ใช้ API Google ไอ้ ของ YouTube ตรงๆ อ่ะ มัน จะ ขึ้น,9arm
ช้า ถ้า เกิด ว่า คุณ ไปดู แชท คนอื่น ใช้ สตีม LA,9arm
มัน จะ ขึ้น ช้า มี แต่ แชท แบบ YouTube ตรงๆ เท่านั้น ที่ มัน จะ เด้ง เร็ว แบบนี้ ใช่ มั้ย ผม ก็ แบบ ว่า กู อยากได้ แช แชท เด้ง เร็ว ๆ เหมือน เห มือ ทวิ ต อ่ะ แบบ คน พิมพ์ มา ปุ๊บ มัน ต้อง ขึ้น,9arm
ปั๊บ เลย อ่ะ เออ เรา ทำ ยังไง ได้ บ้าง เรา ไป ดึง ของ แชท จาก YouTube ได้ มั้ ใช่ มั้ย ก็ได้ ก็ คือ ที่ เรา ใช้ มา เรา ดึง แชท จาก YouTube มา เรา มา แต่ง สี แต่ง อะไร เพิ่ม ถูก ป่ะ แต่ มัน,9arm
เป็น แค่ หน้ากาก เว้ย แต่ เรา ต้องการ ที่จะ แบบ ว่า ผม อยาก พิมพ์ พิม คอมเมนต์ คุณ ด้วย อ่ะ ไอ้ เงี้ย ทำ ไม่ ได้ นะ ไอ้ ที่ อุปกรณ์ ที่ มัน มี อ่ะ,9arm
มัน ทำ ไม่ ได้ แล้ว เรา จะ ต้อง ไป ดีไซน์ ระบบ ใหม่ มา บอ กว่า เม ัน จะ เป็น แค่ หน้ากาก แบบ เดียว ไม่ ได้ มัน จะ ต้อง ส่ง ข้อความ ของ คุณ น่ะ เข้าไป ที่ Server ของ เรา ด้วย อันนี้ เรา นี่,9arm
เรา รัน server จริงจัง เลย ก็ คือ แชท ของ คุณ,9arm
ทุกครั้งที่ เข้ามา มัน จะ ยิง ข้อความ ของ แชท,9arm
เนี่ย วิ่ง ไป ที่ Server ใน บ้าน แล้ว Server ใน บ้าน น่ะ ก็ เปิด มา ยิง มา ใส่ ตรงนี้ แล้ว ท่า นี้ ที่ ผม กด กด พิ ปั๊บ มัน ก็ จะ บอ กว่า อ่ะ p ิ ข้อ,9arm
ความ นี้ เชื่อม กับ ระบบ notification ทันที,9arm
แล้ว นี่ ดึง รูป คุณ มา ได้ ด้วย เห็น ป่ะ มี บอก ไว้ ได้ ว่า เม ber มา 2 ปี แล้ว เฮ้ย แชท อะไร ใช่ ป่ะ ทั้งหมด นี้ คือ อุปกรณ์ ที่นั่ง ทำ เอง อ่ะ นั่ง กระดาก ฝาก ชิบหาย นั่ง ทำ เอง,9arm
ผม ทำ ไอ้ ระบบ notification เประ มา ณ ครึ่ง วัน โม โน นี่ แล้ว มา แก้ บัห ลัง จาก เท ส กับ พวก,9arm
มึง เนี่ย ไป อีก ชั่วโมง 2 ชั่วโมง ประมาณ นี้,9arm
แล้วกัน ทุกคน ลอง ไป ลอง ไป เล่น ดู เอ่อ AI ตอน,9arm
นี้ เป็น ยุค เป็น อะไร ที่ น่าตื่นเต้น เว้ย,9arm
แล้วก็ ถ้า เกิด ว่า คุณ ใช้ ไป เจอ cas ส ของ มัน,9arm
ที่ มัน เข้ากับ ชีวิต คุณ เมื่อไหร่ ชีวิต คุณ,9arm
จะ ดีมาก เลย ฝาก ไว้ แค่นี้ เมาส์ เป็น ชั่วโมง,9arm
กู บอก แล้ว ไง วัน ไหน เมาส์ อ่ะ เนี่ผม ว่า นี่ ยุคทอง อ่ะ อาจจะ น่าจะ ยุคทอง เพราะว่า เรา ยัง,9arm
จ่าย ถูก อยู่ เพราะ เค้า อยาก ให้ คุณ ใช้ ไง คุณ,9arm
กรอบ โกย เลย,9arm
สุดท้าย จะ มี AI เจ้า ไหน ที่ ชนะ เป็น เจ้า ตลาด ไหม ครับ หรือ มัน จะ สลับ กัน ชนะ ไป เรื่อยๆ,9arm
ผม ว่า มัน ก็ น่าจะ สลับ กัน ไป เรื่อยๆ แล้ว แหละ,9arm
มัน อยู่ ที่ว่า ใคร ลูกค้า ได้ อยู่ อยู่ ได้ดี มากกว่า ใน ช่วงนี้ อย่าง ผม ก็ ติด คอร์ส ผม ก็ ไม่ ไป ไหน นึกออก ป่ะ ผม เจอ กับ AI ตัว ที่ เก่ง,9arm
คอร์ส คือ เก่ง อยู่ ละ แล้วก็ ราคา สำหรับ ผม แล้ว โอเค เพราะว่า เทียบ กับ งาน ที่ มัน ได้,9arm
ผม โอเค เลย เออ ตอนแรก ผม โดน ไป 20 ดอลลาร์ แล้วก็ ติด แคป บ่อย เหลือเกิน อ แบบ ว่า มัน อึด อึดอัด อ่ะ ขยาย เลย 200 เหลือ ไม่ เคย ติด แคป,9arm
อีก ตัว ไป นึง ซึ่ง ผม ก็ ถือว่า heavy user เหมือนกัน นะ แต่ มัน มี บางคน แบบ ใช้ ทั้งวัน,9arm
อาจจะ อาจจะ ยัง ไม่ พอ ผม ไม่ รู้ ว่า เขา จะ ทำ,9arm
อะไร เ้า จะ ใช้ ทำงาน ทั้งวัน ทำ โปรเจค ใหญ่ ไม่ รู้ แต่ สำหรับ ผม เป็น ทำ ใช้ เอง ทีละ ชิ้น น่ะ,9arm
มัน พอ ตลอด เรา จะ เอา เค้า มา ช่วย ยังไง ไม่ ให้,9arm
เสีย ตัวตน คะ ถ้า รู้ แล้ว บอก พี่ ด้วย นะ ตอนนี้ พี่ เป็น ง่อย ละ พี่ นั่ง อย่าง เงี้ย,9arm
สำหรับ เนื้อหาหลัก ของ เรา ใน วันนี้ นะ ครับ ก็ จะ มา เล่า ให้ ฟัง ถึง เหตุการณ์ ที่ ผม โดน ทัวร์ พรรคเพื่อไทย ลง แบบ งง ๆ แบบ แบบ ทัวร์ ลง ครั้ง,9arm
ที่ งง ที่สุด ใน ชีวิต ไป ฟัง กัน ครับ,9arm
ถ้า คุณ ชอบ ค เท น แบบนี้ และ อยาก เลี้ยง กาแฟ ผม สามารถ ที่จะ ทำ ได้ที่ ระบบ เม ership ครับ,9arm
สมาชิก สามารถ ดู ไลฟ์ ย้อนหลัง ได้ แบบ เต็มๆ มี โพสต์ หลังบ้าน เฉพาะ สมาชิก มี บัตรเครดิต สี,9arm
สวย อยู่ หลัง ชื่อ ด้วย นะ ครับ และ ผม ต้อง ขอ,9arm
ขอบคุณ สมาชิก ทุกท่าน ครับ ที่ ช่วย ให้ ผม สามารถ สร้างสรรค์ ค เท น ได้ แบบ ที่ เป็นตัว ของ ตัวเอง สุด ๆ และ ขอ ขอบคุณ คุณ ผู้ชม ทุกท่าน ที่ รับ ชม นะ ครับ,9arm
ต้อง เล่า ก่อน สำหรับ คน ที่มา ดู ย้อนหลัง อะไร,9arm
อย่างงี้ ไง เ้า จะ อาจจะ เอา แบบ ปีหน้า มา ดู,9arm
อะไร อาจจะ ยัง ไม่ รู้เรื่อง ใช่ มั้อ่ะ มา เล่า ย้อนหลัง กัน ก่อน คือ เรื่อง มัน มี อยู่ ว่า นะ ครับ เอ่อ เช้า วัน นึง ผม ตื่นขึ้น มานะ ครับ,9arm
แล้ว ผม ก็ เห็น ชาว หลังบ้าน ใน อาร์ม เ แชร์ ข่าว นึง ขึ้น มา ซึ่ง เป็นข่าว ของ เอ่อ อาจารย์ เชน นะ ครับ อาจารย์ ยช นันท์ เค้า ไป โปรโมท ไอ้ ห้อง,9arm
ฟอก ห้อง ขวั แรงดัน บวก เครื่องฟอกอากาศ แบบ DIY ข่าว ลง ว่า แบบ ใช้ งบ 3 600 โห ทำได้ ทั้ง ห้อง เลย ผม เห็น แล้วก็ แบบ เฮ้ย มัน ต้อง,9arm
อย่างงี้ สิวะ อ่ะ ผม ก็ แบบ เฮ้ย เพราะว่า อะไร background ก็ คือ ว่า เรา เนี่ย ขาย เครื่อง กอง อากาศ DIY มา นา นะ ผม อ่าน เท่านี้,9arm
Engineering ของ เครื่อง กอง อากาศ เนี่ย สุด,9arm
ท้าย แล้ว ไม่ ว่า คุณ จะ ทำ แฟนซี เท่าไหร่ สุด,9arm
ท้าย แล้ว มัน คือ เอา อากาศ ผ่าน ฟิเตอร์ ตามที่ บอก ไว้ ใน คลิป เมื่อนานมาแล้ว มัน มี แค่นี้,9arm
จริงๆ แล้วก็ การ ที่ รัฐบาล โปรโมท ไอ้ ของ สิ่ง นี้ เนี่ย เวิร์ค จัด เออ แล้ว ทีนี้ ผม ก็ เลย ว่า อ้า มัน ก็ ต้อง แซว ออก กัน หน่อย คือ หมายถึง ว่าด้วย จิตใจ เพียว ๆ เลย นะ เว้ย เรา ชอบ คนขายของ ไอ้ เครื่อง กอง อากาศ DIY ก็ เลย โพสต์ Same Energy 2 คำ เท่านั้น,9arm
Same Energy เป็น รูป อาจารย์ ยช นันท์ ที่ กำลัง อยู่ ตรง เครื่อง กอง อากาศ พอ,9arm
ดี กับ รูป ผม ที่ กำลัง ขาย เครื่องกรองอากาศ แบบ DIY พอ ดีแล้ว โพส แค tion ว่า Same Energy ซึ่ง ใน หัว ตอนนั้น อาจจะ เล่า ให้ ฟัง ก็ คือ ว่า เรา เนี่ย เดี๋ยว จะ เอา รูป นี้ นะ ทำ ก่อน คือ เวลา เรา ทำ กราฟฟิก เนี่ย เรา ไม่ มี ทีม กราฟฟิก กู คนเดียว แชท กู ก็ แบบ ว่า อ่ะ ถ้า เกิด ว่า เรา โพสต์ รูป อาจารย์ เชน กับ เรา คู่ กัน เรา ก็ เขียน แคป ชัว่า same energy เสร็จ แล้ว,9arm
เรา โพสต์ ลง Facebook เสร็จ แล้ว เรา ก็ จะ แคป Facebook เนี่ย ไป ลง แพลตฟอร์ม อื่น เพราะ ว่า เป้าหมาย จริงๆ คือ เรา จะ บอ กว่า เนี่ย ครับ,9arm
คน รัฐ ระดับ รัฐมนตรี เนี่ย เขา ทำ กัน อย่า งี้ ซึ่ง เป็น โจ๊ก ซึ่ง เป็น โจ๊ก แบบ ว่า เออ นี่ แหละ นี่แหละ คือ DIY เนี่ย มันดี เอา ใหม่ เดี๋ยว ฟัง ก็ ไม่ เข้าใจ อีก กู กู กู งง จัด ไอ้ DIY เนี่ย มัน ต้อง โปรโมท อยู่ แหละ ใช่ มั้ม ัน มัน เวิร์ค มัน เวิร์ค เรา เรา อยาก เรา,9arm
อยาก จะ ดัน สิ่ง นี้ ใช่ มั้ย แล้วก็ เป็น โจ๊ก ที่ แบบ ว่า เฮ้ย อาจารย์ เชน เป็น รัฐมนตรี กู ก็ จะ เค ม กู ก็ เป็น รัฐมนตรี เหมือนกัน เออ คน ระดับ รัฐมนตรี เนี่ย เา ค้า ทำ กัน อย่างงี้ อัน,9arm
นี้ ก็ แคป ไป หลง Twitter แล้วก็ จบ วันนั้น ก็ คือ ผม ก็ ไป แล้ว ผม ก็ ยัง บอก อีก นะ ใต้ คลิป,9arm
เนี่ย ผม ก็ เม้นต์ ว่า เฮ้ย หลังจาก เ ergy ใช่ มั้ก็ จะ เห็น คอมเมนต์ ของ ผม ว่า มัน เวิร์ค,9arm
เว้ย มึง เพราะ มัน เวิร์ค เว้ย มึง เพราะว่า กู ชอบ มัน เวิร์ค เว้ย เออ เสร็จ แล้ว กู ก็ ไป ครับ,9arm
แต่ มัน เป็น กลางวัน ของ กู ไง เขา ก็ ไป ทำ อะไร,9arm
เขา ก็ กลับมา Oh my god is this shit โอเค มัน ไป ถึงขั้น นั้น ได้,9arm
อย่างไร มัน ไป ถึงขั้น นั้น ได้ อย่างไร ก็ คือ ที่ ผม ไม่ ได้ ออกมา พูด อะไร มากมาย ขนาด นั้น,9arm
เพราะว่า ผม รอ ดู ว่า มัน มัน จะ ไป ได้ ถึง ไหน วะ ก็เพราะว่า มัน ไป ได้ ไกล มาก,9arm
คือ โอเค อัน แน่นอน กลับมา ดู ปุ๊บ ไอ ทำไม ทัวร์ ลง วะ ทัวร์ นาง แบก ลง เลย ด่า กู กู ยับ เลย,9arm
โอ ด่า กู ยับ เลย กู ก็ งง ว่า เจตนา กู เนี่ย เี่ยว สุด ๆ เจตนา กู คือ แบบ กู โปรโมท ไง เออ แซว แซว แซว มั้ แซว แซ ใช่ แต่ว่า ก็ คือ เห็นดีเห็นงาม ด้วย,9arm
เป็น อะไร ที่ กู เห็นด้วย แล้ว ทำไม กู โดน ด่า กู ก็ งง กู ก็ เลย โพสต์ ว่า เนี่ย นาง แบก ชก มั่ว สัตว์ อะไร สัก อย่าง นึง โพสต์ ไป เ้า ไป กัน ใหญ่ เลย ทีนี้ เอ้าๆ คือ กลายเป็น ว่า กู อย่าง งั้น อย่างงี้ อ้า โอ มัน ไป ไกล มาก ผม ก็ นั่ง งง ว่า หา what โอเค อ้า มา ดู มา ดู กัน กู ไม่ รู้ จะ พูด ยังไง กู อึ้ง อยู่ เอ่อ Same Energy อ่ะ ทุก,9arm
คนเรา ทุกคน ครับ Me ม วันนี้ ขอ เสนอ คำ ว่า Same Energy พลังงาน เดียวกัน เขา ใช้ ยังไง เดี๋ยว ผม จะ อธิบาย ให้ ฟัง นะ ครับ สำหรับ คน ที่ ไม่ ทราบ ถ้า เกิด ว่า คุณ ใช้ Google ใน อาร์ม รับ โจ๊ก Same Energy แปล ว่า เปรียบเทียบ 2 อย่าง ที่ มัน ไม่ เกี่ยว กัน แต่ว่า มัน มี พลังงาน,9arm
คล้าย ใช้ กัน ไว เดียวกัน อ่า แล้ว แล้วก็ จบ แค่ นั้น คือ ของ ที่ มัน มี ไว เดียวกัน แล้ว มัน มัน,9arm
จบ แค่นั้น มัน มัน ไม่ ได้ มี ความ ด้อยค่า หรือ อะไร ก็แล้วแต่ แต่ ปะ ก็ เลย อ่ะ เดี๋ยว เอา ให้ ดู มัน ก็ เลย เป็น ภาพ นี้ ม ทุกคน เนี่ย Same Energy คือ เซลล์ เล่น คือ เซลล์ ถ้า เกิด ว่า คุณ ดู กลับ ไปดู มีม same energy เนี่ย ถ้า โพสต์ No me same energy,9arm
ตอนแรก ก็ จบ แล้ว,9arm
ก็ เนี่ย same energy คือ กู ต้อง โพสต์ ด้วย,9arm
หรอ กู เล่น มุก แล้ว คือ กู ต้อง มา เล่า ให้ ฟัง,9arm
ด้วย โอ้ มัน เป็น อย่างนี้ นะ ครับ เนี่ย มัน ไม่,9arm
มี อะไร เลย ใช่ มั้ย อ่ะ มัน ไม่ มี อะไร เลย เนี่ย เนี่ย สมมุติ ว่า มัน เป็น เ ame energy แบบ เนี้ย เรา เทียบ อย่า งี้ เรา เรา บอ กว่า น้อง เป็น หมา เหรอ ก็ ไม่ ใช่ เรา ด้อย ฆ่า น้อง คน นี้,9arm
เหรอ ก็ ไม่ ใช่ หรือ เรา เทียบ อันนี้ กับ ไก่ ตุ๊ก กับ ไก่ พลาสติก เรา ว่า น้อง คน นี้ เป็น ไก่,9arm
พลาสติก เหรอ ก็ ไม่ ใช่ มัน แค่ เน erg จี้ เดียว กัน คือ การ ขายของ DIY ว่า กู จะ บ้า กู ต้อง อธิบาย โอ ไว ใน การ ขาย อยู่ เนาะ เห็น ป่ะ นี่ อาจารย์ เชน ขาย อันนี้ ขาย อันนี้ เหมือนกัน ไว,9arm
เดียวกัน อย่าง แย่ ที่สุด มัน ก็ คือ การ เซลล์ กัน แบบ ว่า ขำ ๆ ไม่ ได้ มี ความ ดูถูก ไม่ ได้ มี ความ อะไร อยู่ ใน นั้น เลย อ่ะ แต่ ว่าการ ที่ คน,9arm
เรา ไม่ รู้เรื่อง ยิม เลย หรือ ๆ หรือ หรือไม่,9arm
รู้ ว่า เอ ผม พูดว่า อะไร แล้วก็ ด่า เลย ว่า แบบ นี้ ครับ นี่ คือ การ ด้อยค่า งานวิจัย ของ นัก,9arm
วิจัย ชาวไทย ที่ ทำ มา ตั้ง นาน แล้ว อ้า ไป กัน,9arm
ใหญ่ เลย เอ้า กู แบบ แบบ กู งง กู อ่าน แล้ว กู งก กู น้อย ที่ ที่ ที่ งง เพราะอะไร รู้ เปล่า เพราะว่า I support this แต่ กู โดน ด่า ยับ เลย ดับ ๆ โอ้โห ถ้า เกิด ว่า คุณ เห็น ข้อความ แต่ละ ข้อ,9arm
ความ ที่ ที่ ด่า โอ Very good อ่ะ อ่ะ ทีนี้ พอ มี คน มา อธิบาย พอ มี คน มา อธิบาย ใช่ ม ครับ,9arm
เรื่อง นี้ บอ กว่า โอ้ เนี่ย มัน นี่ นะ Same Energy นะ พวก พวก นาย ไม่ รู้จัก มีม ใช่ มั้ย,9arm
มัน มัน เป็น มีม แบบนี้ นะ มัน เป็น เอ่อ อย่าง มาก แต่ เา ไม่ ได้ ว่า อะไร เลย นะ ใช่ มั้ย หรือ ผม ก็ บอก อธิบาย บอก ไป แล้ว เพราะ เนี่ย ชอบ ก็ เลย,9arm
โพสต์ แบบนี้ ความผิด ของ ผม ก็ เปลี่ยนไป ความ,9arm
ผิด ของ ผม ก็ กลายเป็น ออ แล้ว ทำไม ลูกหาบ นาย อาร์ม ก็ ไม่ รู้เรื่อง เหมือนกัน มา ด่า,9arm
อาจารย์ เชน ว่า นั่น นู่น นี่ นั่น นู่น นี่ ทำไม,9arm
นาย อาร์ม ไม่ คุม ลูก เพจ ไม่ อธิบาย ให้ ลูก เพจ อย่าง งั้น กรีซ สิ ครับ กรีซ มัน ออกมา,9arm
ละ ไม่ ได้ ครับ โดน ชก ฝ่าย เดียวึ อะไร อ่ะ กู เสีย เน โอ้ เด ี๋ กู พูด ชื่อ อาจารย์ เชน เดี๋ยว จะ change of do อีก เดี๋ยว ๆ กู,9arm
โดน อีก คือ อ่ะ อ ก็ อธิบาย ตัวเอง แล้ว ว่า โอเค,9arm
นี่ คือ I support this นะ แต่ ก็ บอ กว่า โอ้ นาย อาร์ม พูดน้อย ไป ทำไม ไม่ ชม ออกมา ตรงๆ เลย ล่ะ ครับ ลูกหาบ จะ ได้ รู้กัน ว่า นี่ นะ ครับ,9arm
ใน อ ชู เขียน ไว้ ใน คอมเมนต์ แล้ว ว่า มัน เวิร์ค 2 คือ กู ชอบ กู ก็ เขียน แล้ว,9arm
คน มัน จะ ด่า ครับ ยังไง ก็ ด่า,9arm
แล้ว กู ไม่ ได้มา แก้ตัว ให้ พวก นั้น ฟัง เว้ย กู มา เล่า ให้ ฟัง ว่า จาก perspective กับ กู เป็น ยังไง เพราะ กู รู้สึก ว่า มัน ยังไง กู ก็ ผิด อยู่แล้ว เรื่อง นี้ ไม่ มีปัญหา แต่ มัน เป็น ประสบการณ์ ที่ แบบ เซ อ รี ยว มาก สำหรับ กู,9arm
โอเค ป่ะ ทีนี้ เขา อาจจะ งง ว่า แบบ เอ้ย คอม มิ unity เขา อาจจะ ไม่ ใช่ อย่างนี้ หรือ เปล่า แต่ คอม มิ unity เรา อ่ะ ก็ คือ เรา กู ไม่ เคย ลบ เม้น์ ใคร นะ เออ ถ้า เกิด ว่า ไม่ แบบ ว่า ด่า พ่อ ล่อ แม่ กัน แบบ ขนาด นั้น น่ะ ถ้า เกิด ว่า มา คุย กัน แบบ ใช่ มั้ก็ ไม่ เคย ลบ เม้นต์ นะ ก็ เ่อ อย่าง ใต้ เม้นต์ นั้น ก็ มี คน มา บอ กว่า โอ๊ย,9arm
หา ของ ได้ ตาม Shopee นั่น นู่น นี่ ซึ่ง ส่วน,9arm
ตัว แล้ว กู ไม่ เห็นด้วย นะ กู รู้สึก ว่า 3 600 นี่ เป็น รา คาที่ แบบ make เซ ense มาก เครื่อง,9arm
กอง ถึงแม้ว่า จะ มี แค่ เครื่อง กอง แต่ จริงๆ,9arm
มัน เป็น ห้อง ทั้ง ห้อง ถูก ป่ะ แต่ว่า แค่ เครื่อง กอง 3 600 เท่า เนี้ย มัน ก็ กว่า ก็ โอเค นะ ใน ใน สเกล ที่ แบบ รัฐบาล ทำ ถูก ป่ะ เพราะ ว่า รัฐบาล คุณ ก็ รู้ ว่า ปกติ เค้า ซื้อ ของ ราคา,9arm
เท่าไหร่ ถูก ป่ะ เออ 3 600 เนี่ย อาจจะ แพง แง,9arm
ไป ถ้า เทียบ กับ DIY อ่า เครื่อง กอง อากาศ อย่าง เดียว แต่ สำหรับ ผม กู้ กู โอเค ก็ ไม่ มี,9arm
ปัญหา อะไร ก็ อ่าน คอมเมนต์ แล้วก็ เออ ก็ ไม่ เห็นด้วย นะ แต่ ก็ ปล่อย ให้ discus กัน ไป นึก ออก ป่ะ community,9arm
เรา คือ การ discussion ใช่ มย ก็ กลายเป็น ว่า ทำไม ไม่ คุ้ม ลูก เพจ ก็ งง ว่า เ้า แล้ว มัน คุม ได้ ด้วย หรอ เรา เป็น ช่อง ทาง ออนไลน์ ที่ ใคร จะ มา เม้นต์ ใต้ โพสต์ เรา ก็ ได้ แล้ว เรา ต้อง คุม ต้อง เรา ต้อง ไป รับผิดชอบ,9arm
คอมเมนต์ ของ คนใต้ ได้ นี้ ด้วย เหรอ มัน ด่า ไอ้,9arm
คน นี้ มัน ด่า มึง แต่ มึง มา ด่า กู ทั้งๆ ที่ กู เห็นด้วย กับ คอม มิ นี้ แส ว กัน ยับ โดย เฉพาะตอน อยู่ t วิ ต คือ ถ้า เกิด ว่า คุย กัน อยู่ ใน อยู่ ใน ขอบเขต ที่ แบบ ไม่ ไม่ ด่า พ่อ ล่อ แม่ กัน น่ะ เรา ก็ ปล่อย เว้ย ใช่ ป่ะ เอ่อ ทั้ง ใน เพจ ทั้ง ใน ใน กรุ๊ป เรา ทำ กัน อย่างนี้ อยู่แล้ว แต่ว่า คุณ,9arm
ไม่ รู้ ไง คุณ ไป เอา มาตรฐาน ของ ใคร ไม่ รู้ เข้า มา ก็ อ่า โอเค ไม่ ว่า กัน แต่ กู งง ว่า กู ต้อง วาด,9arm
แผนภาพ เพราะว่า กู ไม่ เข้าใจ,9arm
ไม่ ได้ แถ ใช่ไหม,9arm
ขอบ นี่ ๆ มึง ดู คน อิน ขนาด ตามมา จ่าย ตังค์ ให้ ขอบใจ นะ กู จะ แถม อ่ะ กู ไม่ มีเหตุผล ให้ แถ เว้ย,9arm
สาย l น 9 y,9arm
เ ame energy ไหม ครับ มี ใคร เล่น ไป ยัง เซ มเ ame energy กับ ของ แพง เลย พวก มึง ไม่ เข้าใจ มีม จริงๆ ด้วย กู งง จัด โห กำลัง งง ว่า มัน เป็น อย่า งี้ นะ มี ใช่ มั้ย เอา มึง ร้อง นาน ไป เป่า ช่วงนี้ คง เหงา,9arm
เคย หา engagement,9arm
รับ ตังค์ เหนาะ,9arm
เส้น นาง แบก งง เหมือนกัน แทนที่จะ ชก แชท เบียว ๆ กระดก แว่น ไป ชก นาย อาร์ม ทำไม วะ ว่า ตรงๆ นาย อาร์ม ไม่ ผิด แต่ โพสต์ นาย อาร์ม,9arm
มัน เหมือน เปิด ประตู นรก ให้ คน มา ดูถูก งาน วิจัย แล้ว คือ กู ต้อง รับผิดชอบ คน ที่มา ด่า มั้ย อ่ะ า มา เอา มา เรา มา ดู แผนภาพ กัน ทุกคน มี ใช่ มั้ย แล้วก็ มี คน เข้ามา ด่า มี คน เข้ามา ด่า,9arm
ตาย คน คน เข้ามา ด่า อันนี้ ด่า เข้าไป ที่ เอ่อ ผลงาน ซึ่ง ก็ บอก ตามตรง ว่า บาง อัน ก็ แรง ๆ บาง อันนี้ ก็ ไม่ ถูกต้อง ไม่ ได้ เห็นด้วย อะไร อ่า แล้วก็ ด่า ๆ เห็น มั้ถาม คือ ก็ จะ มี คน,9arm
อีก กลุ่ม นึง มา ด่า กู ซึ่ง กู,9arm
เอ่อ ทำไม มัน มัน มัน ข้าม มัน ข้าม อันนี้ ไป แล้ว แล้ว มัน มัน มัน มาถึง กู ได้ ยังไง วะ มัน,9arm
มัน มัน,9arm
มัน มาถึง มึง ด่า มัน เลย มึง ด่า มัน เลย เออ กู กู ก็ มา ด่า กู โอเค ทีนี้ ก็ มา ด่า กู ว่า อะไร มา ด่า,9arm
กู ว่า ทำไม ทำไม กู ไม่ ควบคุม คน ที่มา เม้น ใต้ เพ ใต้ เพจ กู ด้วย แบ อืม โอเค อ่ะ สมมุติ เหตุ,9arm
การณ์ เป็น อย่าง เงี้ ไม่ต้อง สมมุติ เหตุ,9arm
การณ์ เป็น อย่างงี้ ใช่ ป่ะ อ๋อ ก็ คือ งั้น กู ก็ นั่ง เขียน นั่ง เขียน ว่า อ๋อ คือ กู ผิดที่,9arm
ไม่ ห้าม,9arm
อ๋อ กู ผิดที่ ไม่ ห้าม โอเค ทั้งๆ ที่ กู บอก ไป แล้ว นะ ว่า กู เห็นด้วย กู กู แสดงความคิดเห็น,9arm
